table_name	column_name	data_type
ADDRESS_POLY_20230314	UNIT_DES	STRING
ADDRESS_POLY_20230314	UNIT_NUM	STRING
ADDRESS_POLY_20230314	CITY	STRING
ADDRESS_POLY_20230314	STATE	STRING
ADDRESS_POLY_20230314	ZIP	INT64
ADDRESS_POLY_20230314	ZIP4	STRING
ADDRESS_POLY_20230314	ZBA_PR_USE	STRING
ADDRESS_POLY_20230314	CNTY_FIPS	INT64
ADDRESS_POLY_20230314	ADDR_CONF	INT64
ADDRESS_POLY_20230314	ID	INT64
ADDRESS_POLY_20230314	STATUS	STRING
ADDRESS_POLY_20230314	AVAILABILTY_DATE	STRING
ADDRESS_POLY_20230314	SERVING_WIRE_CENTER_CLLI	STRING
ADDRESS_POLY_20230314	SERVING_WIRE_CENTER_NAME	STRING
ADDRESS_POLY_20230314	SERVICE_TYPE	STRING
ADDRESS_POLY_20230621	STR_NUM	STRING
ADDRESS_POLY_20230621	STR	STRING
ADDRESS_POLY_20230621	UNIT_DES	STRING
ADDRESS_POLY_20230621	UNIT_NUM	STRING
ADDRESS_POLY_20230621	CITY	STRING
ADDRESS_POLY_20230621	STATE	STRING
ADDRESS_POLY_20230621	ZIP	INT64
ADDRESS_POLY_20230621	ZIP4	STRING
ADDRESS_POLY_20230621	ZBA_PR_USE	STRING
ADDRESS_POLY_20230621	CNTY_FIPS	INT64
ADDRESS_POLY_20230621	ADDR_CONF	INT64
ADDRESS_POLY_20230621	ID	INT64
ADDRESS_POLY_20230621	STATUS	STRING
ADDRESS_POLY_20230621	AVAILABILTY_DATE	STRING
ADDRESS_POLY_20230621	SERVING_WIRE_CENTER_CLLI	STRING
ADDRESS_POLY_20230621	SERVING_WIRE_CENTER_NAME	STRING
ADDRESS_POLY_20230621	SERVICE_TYPE	STRING
INVOICE_OVERVIEW_V	TICKET_PROPERTIES_ID	STRING
INVOICE_OVERVIEW_V	TICKET_STATUS	STRING
INVOICE_OVERVIEW_V	TICKET_TYPE	STRING
INVOICE_OVERVIEW_V	TICKET_TYPE_CATEGORY	STRING
INVOICE_OVERVIEW_V	TICKET_CREATED_DATETIME	DATETIME
INVOICE_OVERVIEW_V	TICKET_START_DATETIME	DATETIME
INVOICE_OVERVIEW_V	TICKET_DUE_DATETIME	DATETIME
INVOICE_OVERVIEW_V	TICKET_CREATOR_USERNAME	STRING
INVOICE_OVERVIEW_V	TICKET_ASSIGNED_USERNAME	STRING
INVOICE_OVERVIEW_V	TICKET_ASSIGNED_DATETIME	DATETIME
INVOICE_OVERVIEW_V	TICKET_REGION	STRING
INVOICE_OVERVIEW_V	PARENT_TICKET_PROJECT_NAME	STRING
INVOICE_OVERVIEW_V	PARSED_CLLI	STRING
INVOICE_OVERVIEW_V	WC_TICKET_CLLI	STRING
INVOICE_OVERVIEW_V	WC_SAP_PROJECT_NUMBER	STRING
INVOICE_OVERVIEW_V	WC_PROFILE	STRING
INVOICE_OVERVIEW_V	WC_COMPANY_CODE	STRING
INVOICE_OVERVIEW_V	WC_INVESTMENT_YEAR	STRING
INVOICE_OVERVIEW_V	WC_CONTRACTOR	STRING
INVOICE_OVERVIEW_V	WC_REQUESTOR_COST_CENTER	STRING
INVOICE_OVERVIEW_V	WC_RESPONDER_COST_CENTER	STRING
INVOICE_OVERVIEW_V	WC_CITY	STRING
INVOICE_OVERVIEW_V	WC_STATE	STRING
INVOICE_OVERVIEW_V	WC_ZIP	STRING
INVOICE_OVERVIEW_V	WC_LOCATION	STRING
INVOICE_OVERVIEW_V	CUPS_ID	INT64
INVOICE_OVERVIEW_V	CUPS_SAP_INVOICE_NO	STRING
INVOICE_OVERVIEW_V	CUPS_ITEMS_ID	INT64
INVOICE_OVERVIEW_V	CUPS_VENDOR_INVOICE_NO	STRING
INVOICE_OVERVIEW_V	IQGEO_VENDOR	STRING
INVOICE_OVERVIEW_V	IQGEO_SAP_STATUS	STRING
INVOICE_OVERVIEW_V	IQGEO_TICKET_TYPE	STRING
INVOICE_OVERVIEW_V	CUPS_CREATED_DATE	DATETIME
INVOICE_OVERVIEW_V	CUPS_SUBMITTED_DATE	DATETIME
INVOICE_OVERVIEW_V	CUPS_APPROVED_DATE	DATETIME
INVOICE_OVERVIEW_V	IQGEO_CUPS_PROJECT_NUMBER	STRING
INVOICE_OVERVIEW_V	CUPS_ITEMS_SAP_STATUS	STRING
INVOICE_OVERVIEW_V	IQGEO_ITEMS_QTY_COMPLETED	FLOAT64
INVOICE_OVERVIEW_V	IQGEO_UNIT_PRICE	FLOAT64
INVOICE_OVERVIEW_V	TOTAL_COST_PER_TICKET	FLOAT64
INVOICE_OVERVIEW_V	CUPS_ITEMS_DESCRIPTION	STRING
INVOICE_OVERVIEW_V	IQGEO_EXTERNAL_ID	STRING
INVOICE_OVERVIEW_V	IQGEO_EXTERNAL_MSGD	STRING
INVOICE_OVERVIEW_V	IQGEO_TASK_CODE	STRING
INVOICE_OVERVIEW_V	IQGEO_CUPS_OBJECT_NUMBER	STRING
INVOICE_OVERVIEW_V	IQGEO_COST_ELEMENT	STRING
INVOICE_OVERVIEW_V	IQGEO_COST_ELEMENT_NAME	STRING
ScenarioSummary_BOM_Wed_May_17_2023	ID	INT64
ScenarioSummary_BOM_Wed_May_17_2023	TITLE	STRING
ScenarioSummary_BOM_Wed_May_17_2023	WC	STRING
ScenarioSummary_BOM_Wed_May_17_2023	DESIGN_STATE	STRING
ScenarioSummary_BOM_Wed_May_17_2023	VENDOR	STRING
ScenarioSummary_BOM_Wed_May_17_2023	DERIVED	BOOL
ScenarioSummary_BOM_Wed_May_17_2023	WHO_DERIVED	STRING
ScenarioSummary_BOM_Wed_May_17_2023	WHEN_DERIVED	STRING
ScenarioSummary_BOM_Wed_May_17_2023	OPTIMIZED	BOOL
ScenarioSummary_BOM_Wed_May_17_2023	WHO_OPTIMIZED	STRING
ScenarioSummary_BOM_Wed_May_17_2023	WHEN_OPTIMIZED	STRING
ScenarioSummary_BOM_Wed_May_17_2023	PRIVATE_HOUSEHOLDS_ALL	INT64
ScenarioSummary_BOM_Wed_May_17_2023	ADDRESSES_ALL	INT64
ScenarioSummary_BOM_Wed_May_17_2023	PRIVATE_HOUSEHOLDS_UNSERVED	INT64
ScenarioSummary_BOM_Wed_May_17_2023	ADDRESSES_UNSERVED	INT64
ScenarioSummary_BOM_Wed_May_17_2023	COST_PER_PREM	FLOAT64
ScenarioSummary_BOM_Wed_May_17_2023	LABOR	FLOAT64
ScenarioSummary_BOM_Wed_May_17_2023	MATERIAL	FLOAT64
BRSPD_PREMS_V	SCENARIO_ID	INT64
BRSPD_PREMS_V	SCENARIO_TITLE	STRING
BRSPD_PREMS_V	WC_CLLI	STRING
BRSPD_PREMS_V	INITIAL_DESIGN_ADDR_CT	INT64
BRSPD_PREMS_V	INITIAL_DESIGN_PREM_CT	INT64
BRSPD_PREMS_V	CONSTRUCTION_START_ADDR_CT	INT64
BRSPD_PREMS_V	CONSTRUCTION_START_PREM_CT	INT64
BRSPD_PREMS_V	PREM_PASS_ADDR_CT	INT64
BRSPD_PREMS_V	PREM_PASS_PREM_CT	INT64
BRSPD_PREMS_V	OFS_ADDR_CT	INT64
BRSPD_PREMS_V	OFS_PREM_CT	INT64
ADDRESSABLE_PREMS_V	SOURCE	STRING
ADDRESSABLE_PREMS_V	STATE	STRING
ADDRESSABLE_PREMS_V	WC	STRING
ADDRESSABLE_PREMS_V	MONTH	DATE
ADDRESSABLE_PREMS_V	CT	INT64
ADDRESS_POLY_20221231	STR_NUM	STRING
ADDRESS_POLY_20221231	STR	STRING
ADDRESS_POLY_20221231	UNIT_DES	STRING
ADDRESS_POLY_20221231	UNIT_NUM	STRING
ADDRESS_POLY_20221231	CITY	STRING
ADDRESS_POLY_20221231	STATE	STRING
ADDRESS_POLY_20221231	ZIP	INT64
ADDRESS_POLY_20221231	ZIP4	STRING
ADDRESS_POLY_20221231	ZBA_PR_USE	STRING
ADDRESS_POLY_20221231	CNTY_FIPS	INT64
ADDRESS_POLY_20221231	ADDR_CONF	INT64
ADDRESS_POLY_20221231	ID	INT64
ADDRESS_POLY_20221231	STATUS	STRING
ADDRESS_POLY_20221231	AVAILABILTY_DATE	STRING
ADDRESS_POLY_20221231	SERVING_WIRE_CENTER_CLLI	STRING
ADDRESS_POLY_20221231	SERVING_WIRE_CENTER_NAME	STRING
ADDRESS_POLY_20221231	SERVICE_TYPE	STRING
SAP_BRSPD_V	COMPANY_CODE	STRING
SAP_BRSPD_V	DOCUMENT_NO	STRING
SAP_BRSPD_V	DOCUMENT_LINE_NO	STRING
SAP_BRSPD_V	DOCUMENT_UNIQUE	STRING
SAP_BRSPD_V	FISCAL_YEAR	STRING
SAP_BRSPD_V	STATE	STRING
